"account","amount","date","description","type"
"9526439009",-15.49,1447914945039,"GWR","CAW"
"9526439009",5.34,1447909160359,"Lori Alexander","CAD"
"4886748511330561",-12.45,1447864749437,"Burtons","CCW"
"4886748511330561",-51.55,1447878279180,"Hitachi Personal Finance","CCW"
"26867503",-10.83,1447862625219,"Transfer from Current Account to Savings","SAW"
"9526439009",10.83,1447936591633,"Transfer from Current Account to Savings","SAW"
"9526439009",-16.18,1447978498652,"Oxfam","CAW"
"4886748511330561",-48.7,1448006801403,"Dorothy Perkins","CCW"
"4264049019061231",-19.7,1448021247051,"Morrisons","CCW"
"26867503",5.83,1447998068742,"Transfer from Savings to Current Account","SAD"
"9526439009",-5.83,1448013634024,"Transfer from Savings to Current Account","SAD"
"9526439009",4.38,1448057120512,"Alan Scott","CAD"
"9526439009",-33.17,1448097602792,"Paintball UK","CAW"
"4264049019061231",-12.88,1448072172851,"Uber","CCW"
"9526439009",-21.27,1448126917434,"M5 GoKarting","CAW"
"4886748511330561",-20.88,1448128091259,"Morrisons","CCW"
"4264049019061231",-12.15,1448163187390,"Morrisons","CCW"
"4264049019061231",-32.5,1448212305791,"Pizza Express","CCW"
"4886748511330561",-44.61,1448365061360,"Pizza Express","CCW"
"4264049019061231",-19.04,1448298652158,"GWR","CCW"
"4264049019061231",-14.73,1448349703492,"Save the Children","CCW"
"9526439009",-21.3,1448445156392,"Shelter","CAW"
"4886748511330561",-30.58,1448409655660,"Morrisons","CCW"
"4264049019061231",-29.67,1448435342163,"Toni and Guy","CCW"
"4264049019061231",-7.53,1448464828400,"Save the Children","CCW"
"4264049019061231",-16.64,1448425589160,"Save the Children","CCW"
"4264049019061231",-21.98,1448404772734,"Morrisons","CCW"
"4264049019061231",-44.36,1448410550007,"Thermae Spa","CCW"
"4264049019061231",-25.6,1448382476533,"Save the Children","CCW"
"26867503",-3.97,1448432922973,"Transfer from Current Account to Savings","SAW"
"9526439009",3.97,1448381349392,"Transfer from Current Account to Savings","SAW"
"9526439009",4000,1448534455518,"Salary BACS Payment","BAC"
"9526439009",-18.49,1448542559310,"Oxfam","CAW"
"4264049019061231",-14.47,1448521000153,"RSPCA","CCW"
"9526439009",-11.86,1448566595474,"NBS Personal Loan","D/D"
"9526439009",-12.65,1448620407084,"Cancer Research","CAW"
"9526439009",-50.45,1448706155568,"Payment received thank you","CCD"
"4886748511330561",50.45,1448724800277,"Payment received thank you","CCD"
"4264049019061231",-9.79,1448674803217,"GWR","CCW"
"4264049019061231",-25.69,1448720870730,"Paintball UK","CCW"
"26867503",3.07,1448651175970,"Transfer from Savings to Current Account","SAD"
"9526439009",-3.07,1448692509213,"Transfer from Savings to Current Account","SAD"
"9526439009",-12.14,1448799547062,"Save the Children","CAW"
"9526439009",-29.82,1448801984616,"TicketMaster","CAW"
"9526439009",-27.87,1448732962355,"Thermae Spa","CAW"
"4886748511330561",-30.15,1448801299221,"TicketMaster","CCW"
"9526439009",-164.32,1448742833435,"Payment received thank you","CCD"
"4886748511330561",164.32,1448779029769,"Payment received thank you","CCD"
"9526439009",-88.12,1448741370889,"Payment received thank you","CCD"
"4886748511330561",88.12,1448741930653,"Payment received thank you","CCD"
"4264049019061231",-31.71,1448739886858,"Morrisons","CCW"
"9526439009",-331.23,1448785042658,"Payment received thank you","CCD"
"4264049019061231",331.23,1448799372228,"Payment received thank you","CCD"
"9526439009",-215.34,1448757854797,"Payment received thank you","CCD"
"4264049019061231",215.34,1448732639244,"Payment received thank you","CCD"
"9526439009",-93.47,1448799873895,"Payment received thank you","CCD"
"4264049019061231",93.47,1448809828952,"Payment received thank you","CCD"
"26867503",0.2,1448729789274,"Transfer from Savings to Current Account","SAD"
"9526439009",-0.2,1448750895075,"Transfer from Savings to Current Account","SAD"
"26867503",-16.33,1448729766329,"Transfer from Current Account to Savings","SAW"
"9526439009",16.33,1448801051141,"Transfer from Current Account to Savings","SAW"
"9526439009",-21.56,1448865967664,"Cancer Research","CAW"
"4886748511330561",-21.14,1448879005867,"Save the Children","CCW"
"26867503",-14.83,1448814093531,"Transfer from Current Account to Savings","SAW"
"9526439009",14.83,1448845083918,"Transfer from Current Account to Savings","SAW"
"9526439009",-44.16,1448910100365,"Morrisons","CAW"
"9526439009",-40.59,1448974427535,"American Express","CAW"
"9526439009",-25.53,1448974253021,"Morrisons","CAW"
"9526439009",-53.37,1448940700456,"Paintball UK","CAW"
"9526439009",-58.47,1448982663857,"Barclaycard","CAW"
"9526439009",-47.19,1448909100097,"Wonga","CAW"
"9526439009",-17.83,1448974785954,"Save the Children","CAW"
"9526439009",-35.38,1448974556413,"Boots","CAW"
"9526439009",-31.96,1448957464607,"Toni and Guy","CAW"
"9526439009",-18.03,1448969577259,"Uber","CAW"
"9526439009",-13.32,1448898418824,"Uber","CAW"
"9526439009",-41.1,1448965811877,"Paintball UK","CAW"
"4264049019061231",-36.45,1448981936535,"Thermae Spa","CCW"
"9526439009",-25.69,1448903906445,"Payment received thank you","CCD"
"4264049019061231",25.69,1448964794950,"Payment received thank you","CCD"
"9526439009",-17.7,1448966474049,"Payment received thank you","CCD"
"4264049019061231",17.7,1448936075423,"Payment received thank you","CCD"
"4886748511330561",-41.43,1449007431281,"Wonga","CCW"
"9526439009",-37.8,1449062694329,"Payment received thank you","CCD"
"4886748511330561",37.8,1449060491819,"Payment received thank you","CCD"
"9526439009",-24.71,1449009726104,"Payment received thank you","CCD"
