"account","amount","date","description","type"
"1714339159",-0.01,1447918628309,"Hitachi Personal Finance","CAW"
"1714339159",-6,1447912118176,"Supercuts","CAW"
"1714339159",-8.35,1447924551813,"Lidl","CAW"
"1714339159",-32.15,1448026349000,"Three Mobile","D/D"
"1714339159",0.47,1447948677414,"Nicole Bailey","CAD"
"4166891249231654",-0.01,1448079646671,"Subway","CCW"
"4166891249231654",-9.24,1448338256535,"Barclaycard","CCW"
"4166891249231654",-31.84,1448319174107,"McColls","CCW"
"4166891249231654",-11.07,1448319321474,"MegaBus","CCW"
"37136916",-3.82,1448376935386,"Transfer from Current Account to Savings","SAW"
"1714339159",3.82,1448314250171,"Transfer from Current Account to Savings","SAW"
"1714339159",7.25,1448458618250,"Alan Scott","CAD"
"4166891249231654",-8.15,1448390573546,"Hitachi Personal Finance","CCW"
"1714339159",2000,1448465856073,"Salary BACS Payment","BAC"
"1714339159",-1.47,1448478583334,"Oxfam","CAW"
"1714339159",-15.19,1448528221090,"Groupon","CAW"
"1714339159",-0.01,1448472779024,"Lush","CAW"
"4166891249231654",-14.37,1448489216169,"Groupon","CCW"
"1714339159",-5.08,1448563822846,"Barclaycard","CAW"
"1714339159",0.19,1448584133147,"Alan Scott","CAD"
"1714339159",-12.99,1448584886170,"Subway","CAW"
"1714339159",3.72,1448633168223,"Alan Scott","CAD"
"1714339159",-36.22,1448568035497,"Groupon","CAW"
"1714339159",-11.77,1448606808101,"Bodyshop","CAW"
"4166891249231654",-1.72,1448576972927,"American Express","CCW"
"1714339159",-232.49,1448607250650,"Payment received thank you","CCD"
"4166891249231654",232.49,1448579381016,"Payment received thank you","CCD"
"4166891249231654",-19.68,1448554445751,"Sports Direct","CCW"
"1714339159",-84.28,1448719262960,"Payment received thank you","CCD"
"4166891249231654",84.28,1448664390819,"Payment received thank you","CCD"
"4166891249231654",-1.98,1448665701658,"Sports Direct","CCW"
"4166891249231654",-30.17,1448658997966,"Matalan","CCW"
"1714339159",-3.88,1448776616821,"TV Licence","D/D"
"1714339159",-25.82,1448790038811,"Groupon","CAW"
"4166891249231654",-10.75,1448731112846,"Primark","CCW"
"1714339159",-233.85,1448752743901,"Payment received thank you","CCD"
"4166891249231654",233.85,1448732808658,"Payment received thank you","CCD"
"37136916",12.59,1448734494572,"Transfer from Savings to Current Account","SAD"
"1714339159",-12.59,1448755373287,"Transfer from Savings to Current Account","SAD"
"1714339159",-11.53,1448833829953,"Arriva Wales","CAW"
"4166891249231654",-17.3,1448811630284,"Sports Direct","CCW"
"4166891249231654",-15.28,1448842520696,"Matalan","CCW"
"1714339159",-18.21,1448945912203,"Subway","CAW"
"1714339159",-15.35,1448976385536,"Sports Direct","CAW"
"4166891249231654",-11.7,1448902637370,"Lidl","CCW"
"37136916",-7.35,1448913283950,"Transfer from Current Account to Savings","SAW"
