"account","amount","date","description","type"
"4538439729",-540,1447879978007,"Rent","D/D"
"42472927",-2.82,1447880069299,"Transfer from Current Account to Savings","SAW"
"4538439729",2.82,1447944784940,"Transfer from Current Account to Savings","SAW"
"4867047941437964",-0.01,1447985314141,"Shelter","CCW"
"4867047941437964",-10.71,1447990056260,"RSPCA","CCW"
"4867047941437964",-19.67,1448069523121,"National Rail","CCW"
"4867047941437964",-0.01,1448128624456,"Primark","CCW"
"4867047941437964",-28.32,1448243036921,"Odeon Cinemas","CCW"
"42472927",-5.96,1448239116403,"Transfer from Current Account to Savings","SAW"
"4538439729",5.96,1448208105107,"Transfer from Current Account to Savings","SAW"
"4867047941437964",-2.39,1448347328207,"Hitachi Personal Finance","CCW"
"42472927",-2.53,1448317818926,"Transfer from Current Account to Savings","SAW"
"4538439729",2.53,1448301634098,"Transfer from Current Account to Savings","SAW"
"4538439729",1800,1448507484312,"Salary BACS Payment","BAC"
"4538439729",-14.31,1448546656678,"Spotify","CAW"
"4538439729",-1.88,1448518868465,"Barclaycard","CAW"
"4538439729",-18.23,1448535433295,"Subway","CAW"
"4538439729",-6.1,1448488532425,"RSPCA","CAW"
"4538439729",-14.19,1448495206911,"National Rail","CAW"
"4867047941437964",-6.27,1448516604345,"National Rail","CCW"
"4867047941437964",-7.47,1448469474205,"Lidl","CCW"
"4867047941437964",-0.4,1448478718030,"Cancer Research","CCW"
"4867047941437964",-25.86,1448512164908,"Groupon","CCW"
"4538439729",-11.39,1448630165341,"Primark","CAW"
"4538439729",-13.54,1448573644975,"Oxfam","CAW"
"4538439729",-15.5,1448668928643,"Lidl","CAW"
"4538439729",-15.52,1448657261423,"Sports Direct","CAW"
"4538439729",-13.09,1448672473209,"GWR","CAW"
"4538439729",-27.59,1448653834722,"Lush","CAW"
"4538439729",-14.22,1448720798513,"McColls","CAW"
"4538439729",-9.92,1448693860082,"Supercuts","CAW"
"4538439729",-22.89,1448721950312,"Spotify","CAW"
"4867047941437964",-26.9,1448682187085,"Bodyshop","CCW"
"4538439729",-21.24,1448790988183,"Subway","CAW"
"4538439729",-28.78,1448726252245,"Sports Direct","CAW"
"4538439729",-6.93,1448799775094,"Save the Children","CAW"
