"account","amount","date","description","type"
"2763512073",-19.92,1447872565837,"Superdrug","CAW"
"2763512073",4.5,1447893012753,"Denise Patterson","CAD"
"2763512073",-0.01,1447903269689,"Lush","CAW"
"2763512073",-21.96,1447865567348,"Payment received thank you","CCD"
"4063683329984424",21.96,1447928455128,"Payment received thank you","CCD"
"2763512073",-1.23,1447866428711,"Payment received thank you","CCD"
"4063683329984424",1.23,1447924895177,"Payment received thank you","CCD"
"4063683329984424",-34.34,1447903233541,"TicketMaster","CCW"
"4063683329984424",-22.7,1447930954893,"Morrisons","CCW"
"4435542410873103",-25.63,1447881576031,"Lush","CCW"
"2763512073",-8.23,1447949426174,"Bodyshop","CAW"
"2763512073",-10.5,1448009011874,"Barclaycard","CAW"
"2763512073",-42.88,1448028887682,"TicketMaster","CAW"
"2763512073",-0.01,1447994366017,"Bodyshop","CAW"
"2763512073",-4.94,1447948224469,"Barclaycard","CAW"
"4063683329984424",-26.51,1448011379001,"Primark","CCW"
"4063683329984424",-16.84,1448020598919,"Paintball UK","CCW"
"4063683329984424",-0.01,1447981130964,"Wonga","CCW"
"4063683329984424",-3.57,1448006434097,"Save the Children","CCW"
"4063683329984424",-31.51,1447971012252,"Morrisons","CCW"
"4063683329984424",-11.94,1447961588581,"Arriva Wales","CCW"
"4063683329984424",-8.39,1448013295728,"Arriva Wales","CCW"
"2763512073",-3.16,1448103218390,"Arriva Wales","CAW"
"4063683329984424",-40.27,1448083552171,"Supercuts","CCW"
"2763512073",-23.91,1448151454222,"Sports Direct","CAW"
"2763512073",6.27,1448153603525,"Denise Patterson","CAD"
"4063683329984424",-0.01,1448165391191,"Cancer Research","CCW"
"4435542410873103",-3.57,1448122298639,"Sports Direct","CCW"
"27010425",-11.33,1448188978333,"Transfer from Current Account to Savings","SAW"
"2763512073",11.33,1448171419676,"Transfer from Current Account to Savings","SAW"
"2763512073",-23.82,1448253175658,"Payment received thank you","CCD"
"4063683329984424",23.82,1448280072405,"Payment received thank you","CCD"
"4063683329984424",-27.3,1448210350061,"TicketMaster","CCW"
"4063683329984424",-2.62,1448239592924,"Wonga","CCW"
"27010425",-2.91,1448241799921,"Transfer from Current Account to Savings","SAW"
"2763512073",2.91,1448250270921,"Transfer from Current Account to Savings","SAW"
"2763512073",-38.31,1448303612287,"Sainsburys","CAW"
"2763512073",-28.32,1448318749553,"M5 GoKarting","CAW"
"2763512073",-0.29,1448356630418,"Payment received thank you","CCD"
"4063683329984424",0.29,1448334241517,"Payment received thank you","CCD"
"4063683329984424",-6.49,1448373901362,"National Express","CCW"
"2763512073",-800,1448398671293,"Rent","D/D"
"4063683329984424",-0.01,1448393575778,"Shelter","CCW"
"27010425",-5.6,1448427612685,"Transfer from Current Account to Savings","SAW"
"2763512073",5.6,1448382251909,"Transfer from Current Account to Savings","SAW"
"2763512073",2000,1448510372618,"Salary BACS Payment","BAC"
"2763512073",-0.88,1448482407513,"National Express","CAW"
"2763512073",0.96,1448480281191,"Lori Alexander","CAD"
"2763512073",-6.79,1448524335156,"WWF","CAW"
"2763512073",-4.64,1448492488646,"RSPCA","CAW"
"2763512073",-6.85,1448495582656,"Sports Direct","CAW"
"2763512073",-0.78,1448550387854,"WWF","CAW"
"2763512073",-0.01,1448532979857,"MegaBus","CAW"
"4063683329984424",-0.01,1448515503928,"MegaBus","CCW"
"4435542410873103",-21.17,1448513429170,"M5 GoKarting","CCW"
"4435542410873103",-11.56,1448510843313,"American Express","CCW"
"2763512073",-13.81,1448636246180,"Primark","CAW"
"2763512073",-13.49,1448621217241,"Pizza Express","CAW"
"2763512073",-0.01,1448608494524,"Sports Direct","CAW"
"2763512073",-0.01,1448611159276,"Shelter","CAW"
"2763512073",-9.48,1448622682336,"Oxfam","CAW"
"2763512073",-0.01,1448553998835,"National Express","CAW"
"2763512073",-39.72,1448602157290,"TicketMaster","CAW"
"4063683329984424",-12.24,1448560990279,"Lush","CCW"
"2763512073",-12.33,1448691837075,"Wonga","CAW"
"2763512073",-2.07,1448655641310,"Shelter","CAW"
"2763512073",-4.67,1448693749725,"Oxfam","CAW"
"2763512073",-0.01,1448644861542,"Wonga","CAW"
"2763512073",-10.03,1448650133172,"Wonga","CAW"
"2763512073",-8.42,1448648845568,"National Express","CAW"
"2763512073",-7.75,1448692038968,"MegaBus","CAW"
"2763512073",-11.61,1448661702639,"Oxfam","CAW"
"4435542410873103",-46.18,1448700579240,"Sainsburys","CCW"
"2763512073",-117.91,1448701382250,"Payment received thank you","CCD"
