"account","amount","date","description","type"
"7723109118",-8.4,1447924187656,"National Express","CAW"
"7723109118",9.36,1447884493798,"Nicole Bailey","CAD"
"7723109118",-30.37,1447874190809,"Lidl","CAW"
"7723109118",-8.98,1447937764162,"Cancer Research","CAW"
"4899369886039161",-13.33,1447872328118,"Odeon Cinemas","CCW"
"4528795504846924",-14.12,1448005042682,"Lush","CCW"
"7723109118",-114.88,1448028943200,"Payment received thank you","CCD"
"4528795504846924",114.88,1447999924870,"Payment received thank you","CCD"
"71869266",-0.9,1448023790371,"Transfer from Current Account to Savings","SAW"
"7723109118",0.9,1447965574984,"Transfer from Current Account to Savings","SAW"
"7723109118",-10.94,1448084197626,"Wonga","CAW"
"7723109118",-8.14,1448094801444,"RSPCA","CAW"
"7723109118",-26.43,1448098931394,"Bodyshop","CAW"
"4899369886039161",-13.65,1448035153818,"Groupon","CCW"
"4899369886039161",-2.59,1448107326951,"Shelter","CCW"
"4528795504846924",-0.01,1448113487375,"Arriva Wales","CCW"
"00972013",-9.91,1448080325060,"Transfer from Current Account to Savings","SAW"
"7723109118",9.91,1448069688046,"Transfer from Current Account to Savings","SAW"
"00972013",0,1448099984966,"Transfer from Current Account to Savings","SAW"
"7723109118",0,1448102249725,"Transfer from Current Account to Savings","SAW"
"7723109118",-2.96,1448137001087,"MegaBus","CAW"
"7723109118",-88.39,1448133599586,"Payment received thank you","CCD"
"4899369886039161",88.39,1448134342434,"Payment received thank you","CCD"
"4899369886039161",-10.77,1448154268251,"Bodyshop","CCW"
"4528795504846924",-14.29,1448192625759,"Subway","CCW"
"4528795504846924",-8.26,1448122471348,"Save the Children","CCW"
"7723109118",9.73,1448258411385,"Nicole Bailey","CAD"
"7723109118",-7.86,1448286037208,"Matalan","CAW"
"7723109118",-7.12,1448226253971,"Hitachi Personal Finance","CAW"
"4899369886039161",-0.01,1448270187947,"Wonga","CCW"
"71869266",-6.94,1448239729910,"Transfer from Current Account to Savings","SAW"
"7723109118",6.94,1448283514977,"Transfer from Current Account to Savings","SAW"
"7723109118",-30.21,1448316735122,"Three Mobile","D/D"
"7723109118",-0.13,1448305938825,"Virgin Media","D/D"
"4899369886039161",-5.71,1448329463065,"Spotify","CCW"
"4899369886039161",-5,1448343971129,"MegaBus","CCW"
"4899369886039161",-9.42,1448315822790,"Groupon","CCW"
"4899369886039161",-20.7,1448306252776,"Superdrug","CCW"
"4899369886039161",-10.87,1448362331367,"Subway","CCW"
"4899369886039161",-5.02,1448377298718,"Wonga","CCW"
"4899369886039161",-17.33,1448349760154,"Supercuts","CCW"
"4899369886039161",-2.74,1448355210438,"Wonga","CCW"
"4899369886039161",-1.83,1448334168380,"Shelter","CCW"
"4899369886039161",-21.42,1448354007627,"Supercuts","CCW"
"4528795504846924",-6.23,1448323992748,"Oxfam","CCW"
"00972013",0,1448359060555,"Transfer from Current Account to Savings","SAW"
"7723109118",0,1448353477824,"Transfer from Current Account to Savings","SAW"
"00972013",0,1448304818899,"Transfer from Current Account to Savings","SAW"
"7723109118",0,1448369953430,"Transfer from Current Account to Savings","SAW"
"4899369886039161",-14.98,1448447585439,"Spotify","CCW"
"4899369886039161",-4.93,1448414751895,"Oxfam","CCW"
"4528795504846924",-6.25,1448439913829,"Arriva Wales","CCW"
"00972013",1.6100000000000696,1448432044693,"Transfer from Savings to Current Account","SAD"
"7723109118",-1.6100000000000696,1448443745496,"Transfer from Savings to Current Account","SAD"
"7723109118",1600,1448507942570,"Salary BACS Payment","BAC"
"7723109118",-21.21,1448494513672,"Groupon","CAW"
"7723109118",-16.32,1448493820902,"Groupon","CAW"
"7723109118",-14.05,1448494480913,"Arriva Wales","CAW"
"7723109118",-22.25,1448498000444,"Subway","CAW"
"7723109118",-12.99,1448512555612,"Groupon","CAW"
"4899369886039161",-0.34,1448537520038,"Shelter","CCW"
"4899369886039161",-5.99,1448538481790,"Oxfam","CCW"
